Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,67.24505,51.86584,84.204657,128.15
1950,2,35.728114,20.270061,50.587482,49.4
1950,3,12.926938,-2.109247,28.563223,38.01
1950,4,12.655983,3.428071,22.222697,25.4
1950,5,-3.229512,-9.853121,3.477014,-0.51
1950,6,-4.603359,-7.0192,-2.215418,-4.86
1950,7,-4.610115,-7.94924,-1.31529,-5.26
1950,8,-3.038155,-14.722885,9.628345,1.66
1950,9,10.367049,-3.756806,24.486116,24.13
1950,10,26.678698,11.59831,42.11536,42.62
1950,11,87.858332,73.68609,101.782461,106.54
1950,12,91.835342,76.273827,106.732845,109.7
1951,1,48.512114,33.602077,63.386726,72.42
1951,2,6.377152,-7.504734,20.824552,33.05
1951,3,13.286281,-1.192976,28.557298,33.4
1951,4,4.981438,-4.260069,14.305578,7.8
1951,5,1.284947,-5.444384,8.037966,-2.28
1951,6,-4.047154,-6.529429,-1.745189,-4.32
1951,7,-3.432462,-6.733592,0.0131,-6.19
1951,8,1.106501,-11.131586,13.218292,3.44
1951,9,32.04231,17.884617,45.657654,48.78
1951,10,46.408597,31.868984,61.473024,59.45
1951,11,96.989528,82.713837,111.135552,106.23
1951,12,77.987829,63.570292,93.001125,98.13
1952,1,48.126406,32.691375,62.991207,78.83
1952,2,35.287686,21.988118,49.348483,39.42
1952,3,21.19496,6.663989,35.894438,31.44
1952,4,10.756239,1.879789,19.792302,8.7
1952,5,6.024824,-0.932784,12.617652,-0.93
1952,6,-4.214412,-6.659922,-1.817323,-5.31
1952,7,-4.664252,-8.015395,-1.219759,-5.83
1952,8,4.47397,-6.712956,16.474836,4.7
1952,9,37.492889,24.395155,50.940228,40.9
1952,10,98.610995,84.512738,112.035801,105.86
1952,11,87.461964,73.71391,101.410088,81.68
1952,12,83.776272,69.571245,97.695891,88.01
1953,1,59.301998,44.340626,74.528013,91.58
1953,2,31.956647,17.597827,46.115813,65.33
1953,3,21.662391,6.987106,35.997039,35.31
1953,4,15.363143,6.15847,24.752014,20.33
1953,5,-0.139769,-6.61856,6.621934,1.02
1953,6,-4.469043,-6.783088,-1.963151,-6.41
1953,7,-3.327958,-6.763231,-0.034009,-2.25
1953,8,3.007558,-8.799639,14.627323,7.28
1953,9,57.809063,44.301931,71.278658,70.59
1953,10,50.238993,36.594766,64.628944,50.94
1953,11,92.480226,79.138695,105.790318,80.71
1953,12,99.409004,85.035049,114.175235,123.62
1954,1,78.365987,63.752826,92.381466,124.39
1954,2,32.125301,18.239957,46.445502,45.51
1954,3,46.096916,31.542422,59.691594,76.78
1954,4,13.633836,4.696795,23.110089,24.17
