Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,271.22,253.15,289.54,472.8001307
1950,2,156.35,139.12,174.16,267.6039969
1950,3,206.64,189.18,223.95,406.2684663
1950,4,180.02,161.92,198.28,307.6280405
1950,5,51.92,35.11,68.87,89.03335097
1950,6,36.41,20.19,53.11,57.6745214
1950,7,22.67,8.25,39,40.90760965
1950,8,7.92,2.08,20.05,29.90741043
1950,9,33.63,17.68,49.69,49.48904591
1950,10,40.25,23.38,57.19,57.64813074
1950,11,70.61,53.46,87.68,124.2173136
1950,12,112.03,95.23,129.74,262.4894531
1951,1,141.6,124.59,158.99,262.6791296
1951,2,153.45,136.9,171.66,343.1479882
1951,3,173.19,156.14,190.63,332.9324153
1951,4,130.72,112.79,147.47,246.0140825
1951,5,73.82,56.62,90.93,116.8553612
1951,6,34.43,18.91,50.19,65.42329027
1951,7,21.19,7.79,36.68,60.07744996
1951,8,6.97,1.94,17.83,22.12545992
1951,9,6.82,1.83,18.07,20.13489805
1951,10,28.64,12.31,46.16,28.66825961
1951,11,83.53,67.19,99.7,103.4803051
1951,12,72.61,55.7,89.8,140.1251337
1952,1,222.57,205.47,240.18,382.0732389
1952,2,108.82,92.04,125.7,157.9132464
1952,3,160.84,142.39,177.68,274.4265712
1952,4,124.15,107.52,141.75,223.019916
1952,5,67.47,51.42,83.8,106.7118332
1952,6,15.99,5.86,29.64,36.4150786
1952,7,8.91,2.6,21.07,24.7600884
1952,8,7.83,2.03,19.62,24.39011486
1952,9,11.22,2.9,24.95,20.22667704
1952,10,4.97,1.3,13.34,21.62417183
1952,11,15.84,4.79,30.87,29.95323268
1952,12,62.57,46.16,80.4,55.37930708
1953,1,77.3,61.29,93.56,95.63347051
1953,2,49.25,33.09,66.25,78.37172545
1953,3,113.03,95.82,130.36,176.9567813
1953,4,60.88,44.23,77.14,98.76326848
1953,5,70.27,54.01,86.74,124.7081799
1953,6,22.25,8.69,37.56,50.12645603
1953,7,10.86,3.11,23.64,30.19505183
1953,8,7.93,1.97,20.81,25.7574537
1953,9,5.7,1.49,14.86,19.44201712
1953,10,4.43,1.12,11.74,16.04330335
1953,11,9.62,2.75,21.96,19.98563113
1953,12,40.34,24.08,57.42,29.53639471
1954,1,69.24,52.07,85.49,65.85320591
1954,2,106.37,89.11,123.94,160.7666652
1954,3,162.65,144.86,180.16,234.9269454
1954,4,154.23,136.6,171.34,201.3116638
1954,5,29.76,14.66,45.47,40.80234957
1954,6,23.56,10.15,39.13,26.83173852
1954,7,13.24,3.83,27.73,22.94148607
1954,8,10.58,2.63,25.18,32.73275767
1954,9,6.47,1.73,16.67,22.48585214
1954,10,145.08,128.92,161.15,222.7313668
