Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,82.25,69.5,94.68,98.46
1950,2,35.52,24.17,47.39,41.2
1950,3,51.46,38.89,63.84,51.53
1950,4,73.11,60.86,84.95,76.13
1950,5,104.76,92.68,117.71,86.88
1950,6,111.45,98.46,124.15,97.11
1950,7,94.27,81.98,106.52,82.54
1950,8,85.87,72.75,98.93,82.58
1950,9,62.16,49.39,75.47,56.74
1950,10,68.58,55.14,81.24,62.19
1950,11,98.75,85.74,112.14,105.21
1950,12,47.07,35.03,59.05,58.52
1951,1,31.08,20.78,42.33,38.09
1951,2,69.98,57.12,82.52,68.73
1951,3,80.07,68,92.95,85.09
1951,4,64.04,52.55,75.83,59.28
1951,5,48.6,37.55,59.83,49.01
1951,6,103.09,91.22,115.44,114.9
1951,7,51.59,40.28,63.11,51.4
1951,8,114.65,101.43,127.42,115.71
1951,9,127.79,114.21,141.43,126.48
1951,10,79.09,66.08,91.86,78.34
1951,11,58.49,45.97,70.91,60.16
1951,12,48.35,36.36,59.94,51.82
1952,1,48.54,36.85,60.28,55.45
1952,2,21.85,12.08,32.39,21.14
1952,3,46.49,34.2,58.42,46.88
1952,4,45.68,34.18,57.03,42.98
1952,5,37.15,26.21,48.49,53.26
1952,6,106.8,94.56,118.65,112.95
1952,7,141.31,129.31,152.7,118.26
1952,8,87.51,75.5,99.29,83.4
1952,9,39.96,27.14,52.5,33.32
1952,10,20.4,11.09,31.16,26.63
1952,11,54.96,42.75,67.43,55.81
1952,12,34.41,23.97,45.75,33.22
1953,1,51.45,39.47,63.67,49.54
1953,2,50.42,38.5,62.34,52.34
1953,3,52.84,40.4,65.02,52.64
1953,4,52.59,40.6,63.99,56.91
1953,5,112.1,99.98,123.61,113.57
1953,6,109.3,97.18,121.06,98.04
1953,7,86.76,75.27,97.75,98.67
1953,8,89.43,76.92,101.63,85.23
1953,9,71.63,58.39,84.87,77.97
1953,10,26.33,15.44,37.43,28.17
1953,11,49.55,36.53,61.56,55.89
