Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,102.55,93.84,111.21,101.89
1950,2,86.51,77.93,95.13,84.1
1950,3,73.81,64.88,82.9,74.65
1950,4,51.55,42.9,59.98,55.2
1950,5,44.85,35.58,54.03,50.87
1950,6,59.93,51.1,68.87,61.99
1950,7,72.51,63.75,81.78,75.76
1950,8,87.47,78.07,96.26,98.74
1950,9,38.7,30.1,47.5,47.54
1950,10,79.59,70.2,88.52,88.94
1950,11,108.62,99.68,118.14,116.24
1950,12,56.3,48.05,65.11,59.43
1951,1,68.41,59.82,76.72,70.42
1951,2,78.37,70.01,86.58,76.94
1951,3,102.73,93.56,111.35,106.21
1951,4,106.46,97.98,115.13,111.82
1951,5,40.1,31.19,49.57,42.06
1951,6,89.37,80.54,98.26,92.98
1951,7,103.71,94.89,112.63,103.9
1951,8,53.52,45.1,62.19,62.24
1951,9,65.42,56.11,74.3,70.03
1951,10,41.39,32.19,50.78,45.37
1951,11,82.73,73.58,91.75,87.25
1951,12,87.61,78.77,96.48,96.24
1952,1,63.64,55.25,72.61,63.09
1952,2,57.05,48.56,65.78,57.9
1952,3,69.84,61.09,78.61,72.67
1952,4,62.78,54.19,71.42,67.49
1952,5,101.22,91.99,110.53,104.78
1952,6,28.15,19.44,36.72,27.61
1952,7,64.44,55.59,73.45,63.89
1952,8,67.67,58.75,76.81,72.69
1952,9,67.2,58.02,76.51,73.89
1952,10,42.22,33.12,51.36,46.69
1952,11,62.58,53.84,71.36,69.14
1952,12,61.03,52.63,69.65,66.53
1953,1,61.36,52.52,70.03,61.91
1953,2,37.32,29.26,45.78,34.59
1953,3,88.41,79.7,97.1,92.17
1953,4,51.31,42.76,59.96,56.5
1953,5,120.59,111.32,129.94,130
1953,6,43.74,34.63,52.4,44.15
1953,7,57.21,48.15,66.13,52.89
1953,8,66.63,57.5,75.83,67.15
1953,9,84.08,74.94,93.58,88.69
1953,10,21.94,13.63,30.7,25.6
1953,11,45.68,37.38,54.01,50.61
1953,12,55.93,47.28,64.46,62.95
1954,1,58.57,50.31,66.87,60.94
1954,2,82.73,74.18,91.55,80.98
1954,3,88.62,79.82,97.1,91.56
1954,4,98.21,89.35,106.89,100.71
1954,5,41.09,32.53,50.17,41.09
1954,6,69.61,60.56,78.89,68.4
1954,7,27.12,19.41,35.89,25.78
1954,8,87.25,78.01,95.86,94.41
