Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1960,1,14.85,8.2,21.83,38.76861661
1960,2,9.69,4.47,16.05,32.8697487
1960,3,8.85,3.92,14.73,33.1573523
1960,4,86.98,78.26,95.91,101.6660697
1960,5,122.32,113.54,131.11,137.4306288
1960,6,53.65,45.81,62,54.13491449
1960,7,31.18,23.99,38.59,33.30937842
1960,8,23.93,17.24,30.89,30.76538777
1960,9,18.93,12.1,26.15,30.68915371
1960,10,15.72,9.52,22.62,29.8920532
1960,11,31.19,23.68,38.82,39.53541924
1960,12,19.44,12.58,26.79,36.18515138
1961,1,13.52,6.8,20.53,31.36664127
1961,2,12.85,6.32,19.75,28.01822558
1961,3,21.42,13.92,28.9,36.42493505
1961,4,62.87,54.26,71.71,71.41038928
1961,5,80.17,71.28,89.28,88.07401315
1961,6,44.2,36.17,52.32,50.71985189
1961,7,26.17,19.07,33.28,38.00848604
1961,8,17.37,11.51,23.99,30.32333759
1961,9,26.68,19.23,34.38,39.21307674
1961,10,31.76,24.3,39.41,48.59648507
1961,11,31.72,23.84,39.56,47.35782899
1961,12,22.97,15.18,30.39,39.79821837
1962,1,12.6,6.49,19.49,35.93851674
1962,2,11.8,5.55,18.62,31.68326938
1962,3,15.94,9.29,23.11,38.08319415
1962,4,51.51,42.11,60.5,57.0138972
1962,5,94.86,85.86,103.7,88.04791425
1962,6,47.3,39.31,55.04,47.6928
1962,7,27.48,20.42,34.82,32.35644219
1962,8,25.96,19.09,33.33,34.3455049
1962,9,26.96,19.67,34.41,36.04742704
1962,10,15.95,9.69,23.14,33.89529881
1962,11,15.2,8.68,21.93,34.32837223
1962,12,14.59,8.22,21.35,32.55968741
1963,1,12.27,6.1,19.09,32.13492775
1963,2,8.65,3.84,15.24,28.81824117
1963,3,15.12,8.49,22.53,35.80671727
1963,4,59.14,50.22,67.68,60.52840926
1963,5,65.04,56.51,74.1,59.0092952
1963,6,57.51,49.41,65.24,70.37106358
1963,7,27.42,20.56,35.12,37.00400448
1963,8,22.52,15.58,29.63,33.56482144
1963,9,17.57,11.05,24.75,32.29044775
1963,10,13.58,7.83,20.29,30.94677515
1963,11,16.38,10,23.59,32.1960497
1963,12,13.76,7.55,20.48,32.75445048
1964,1,10.85,5.11,17.75,32.63863659
1964,2,10.37,4.64,17.21,31.92854646
1964,3,12.58,6.56,19.59,36.36099274
1964,4,68.77,59.71,77.46,78.22441315
1964,5,121.05,112.39,130.12,119.1023474
1964,6,66.72,58.52,74.77,72.48254909
1964,7,40.09,33,47.94,55.57304828
1964,8,34.53,27.32,42.03,43.56526889
1964,9,36.49,29.34,44.15,48.10512058
1964,10,34.37,26.59,41.92,54.91111484
1964,11,29.65,22.33,37.18,52.69873812
1964,12,23.06,15.84,30.52,49.34519737
1965,1,17.92,10.87,25.21,43.62725379
1965,2,14.72,8.06,21.51,40.16313998
1965,3,15.7,9,23.39,45.32400877
1965,4,74.69,65.8,83.18,89.24214957
1965,5,115.92,106.97,124.88,106.0140734
1965,6,54.79,46.97,62.56,58.16877369
1965,7,35.88,28.21,43.4,38.79080068
1965,8,29.27,21.94,36.46,36.40438217
1965,9,37.03,29.49,44.39,42.41661194
1965,10,49.69,41.69,58,66.57699859
1965,11,34.09,26.53,42.23,53.48138952
1965,12,26.38,18.99,34.25,53.12855971
1966,1,22.14,14.66,29.52,52.62909194
1966,2,21.89,14.82,29.17,44.8462515
1966,3,41.35,34.19,49.32,63.05854012
1966,4,73.83,64.69,82.84,95.52672351
1966,5,103.22,94.07,112.09,115.9535146
1966,6,65.41,57.31,73.77,76.03052667
1966,7,34.94,27.27,42.75,47.9136725
1966,8,36.63,29.16,44.18,46.38786533
1966,9,20.95,14.4,28.41,38.98197515
1966,10,42.72,34.51,50.55,50.09619333
1966,11,29.22,22,36.9,48.57426943
1966,12,25.37,18.01,33.02,47.86865189
1967,1,18.1,10.9,25.33,44.71525184
1967,2,14.72,8.05,21.8,41.89488643
1967,3,20.88,13.63,28.22,49.14488828
1967,4,99.14,90.59,108.02,113.7417588
1967,5,86.49,77.89,95.37,90.0382819
1967,6,63.21,55.21,71.39,69.79899245
1967,7,31.23,23.91,38.6,41.84926597
1967,8,26.96,19.85,34.32,40.28496292
1967,9,17.67,11.18,24.62,36.60529111
1967,10,29.36,21.68,36.91,46.24627878
1967,11,28.44,21.1,36.21,45.55037467
1967,12,19.69,12.56,27.15,36.38089315
1968,1,13.88,7.07,21,33.42780219
1968,2,11.94,5.84,18.65,30.73739459
1968,3,31.1,23.73,38.84,47.74761822
1968,4,89.39,80.65,98.19,103.237371
1968,5,78.85,70.1,87.38,74.90450631
1968,6,77.57,69.46,86.09,97.87309915
1968,7,59.51,51.81,67.39,88.06618348
1968,8,41.63,34.07,49.45,59.34760224
1968,9,41.05,33.17,48.5,61.87239756
1968,10,47.35,39.77,55.1,82.12542051
1968,11,31.84,24.3,39.67,62.47951279
1968,12,27.13,19.47,34.97,56.60460745
1969,1,21.21,13.79,28.64,53.59670879
1969,2,16.93,9.79,24.27,48.82923888
1969,3,18.89,12.07,26.43,53.4322857
1969,4,101.92,93.03,111.38,135.1978991
1969,5,92.81,84.19,101.66,102.1886266
1969,6,53.44,45.08,61.39,62.48708989
1969,7,35.79,28.48,43.51,53.54973077
1969,8,26.66,19.59,33.91,41.50117184
1969,9,20.02,13.23,27.51,37.8659313
1969,10,30.99,23.5,38.48,45.3638096
1969,11,26.69,19.54,34.47,45.19551376
1969,12,16.98,9.8,24.03,41.35403927
1970,1,15.42,8.44,22.38,41.06825627
1970,2,12.27,6.01,19.57,36.3428077
1970,3,11.9,5.92,18.85,38.15627108
1970,4,64.32,55.43,73.17,74.51700073
1970,5,115.71,106.7,124.32,117.950407
1970,6,67.43,59.34,75.33,72.94191084
1970,7,39.53,32.26,47.29,50.32031766
1970,8,22.96,16.31,29.99,39.22078012
1970,9,27.32,20.34,34.77,42.65781632
1970,10,44.85,37.07,52.42,56.64832312
1970,11,55.29,47.87,62.87,70.31265676
1970,12,35.02,27.52,43.02,55.95670217
1971,1,19.84,12.6,26.98,44.11008351
1971,2,18.39,11.28,25.65,38.71191464
1971,3,21.78,14.68,28.99,48.59387518
1971,4,96.89,88.08,105.97,125.5642465
1971,5,116.07,107.43,124.94,124.5452738
1971,6,70.65,62.76,79.13,79.45253496
1971,7,37.57,30.31,45.22,45.38403625
1971,8,28.83,21.56,36.1,36.57369881
1971,9,21.22,14.41,28.03,31.64828843
1971,10,42.54,34.81,50.32,56.74619401
1971,11,54.73,47.08,62.48,76.19690719
1971,12,33.42,26.06,40.8,53.30864214
1972,1,23.74,16.52,31.1,42.60548171
1972,2,16.96,9.8,23.77,38.23924034
1972,3,19.23,12.08,26.81,41.80326665
1972,4,71.11,62.11,79.99,79.46263776
1972,5,127.11,118,136.17,136.182775
1972,6,57.21,49.12,65.33,55.38766188
1972,7,42.58,35.09,50.31,50.85599766
1972,8,43.86,36.23,51.24,64.61077242
1972,9,37.05,29.95,44.74,52.54088185
1972,10,30.76,23.31,38.75,53.01568195
1972,11,30.93,23.25,38.6,50.6522894
1972,12,16.25,9.4,23.29,34.59344448
1973,1,14.44,7.7,21.64,34.44500697
1973,2,13.48,7.14,20.34,28.9343392
1973,3,48.68,40.81,56.41,59.47972794
1973,4,67.76,58.86,77.03,81.27672205
1973,5,90.44,82.08,99.25,102.9148286
1973,6,51.99,43.88,59.9,54.88788892
1973,7,34.5,26.87,42.29,44.883916
1973,8,30.03,22.87,37.45,44.56485691
1973,9,22.92,15.8,30.52,41.00727113
1973,10,31.49,23.88,39.19,51.04880331
1973,11,25.63,18.71,33.09,45.35431717
1973,12,21.5,14.26,28.65,37.64016526
