Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,158.3,136.04,180.51,149.21
1950,2,86.92,65.72,108.62,105.13
1950,3,80.56,59.55,101.64,90.47
1950,4,89.92,67.86,111.33,96.62
1950,5,38.19,20.81,58.01,42.65
1950,6,82.49,60.74,103.51,69.15
1950,7,84.87,62.95,105.81,100.13
1950,8,62.11,42.32,82.29,71.75
1950,9,82.01,61.37,103.66,88.48
1950,10,69.89,47.86,90.72,67.96
1950,11,119.74,97.66,140.77,142.19
1950,12,68.01,47.79,88.68,63.31
1951,1,63.95,43.47,85.52,70.41
1951,2,83.04,62.78,103.53,80.22
1951,3,89.24,67.55,110.3,105.43
1951,4,80.9,59.41,101.7,79.33
1951,5,67.45,46.68,88.66,67.05
1951,6,90.65,70.1,112.09,92.17
1951,7,70.35,50.18,90.04,62.74
1951,8,47.75,29.48,67.66,43.89
1951,9,65.75,45.92,86.38,67.77
1951,10,71.39,50.52,94.39,63.44
1951,11,79.43,58.41,100.19,109.86
1951,12,86.39,65.93,106.89,98.87
1952,1,102.46,80.57,124.68,93.59
1952,2,46.06,27.13,66.24,51.16
1952,3,69.01,48.37,89.13,67.56
1952,4,69.79,49.3,90.44,72.58
1952,5,77,56.02,98.29,89.12
1952,6,46.58,29.82,65.67,38.06
1952,7,59.62,40.35,80.16,52.87
1952,8,64.56,44.93,84.64,88.21
1952,9,62.5,42.65,83.25,80.41
1952,10,22.57,9.04,39.71,24.28
1952,11,51,32.06,71.32,62.11
1952,12,52.22,34.56,71.44,68.67
1953,1,61.52,41.14,81.28,76.31
1953,2,33.19,17.16,51.32,28.35
1953,3,63.75,44.16,84.4,75.23
1953,4,47.72,29.63,67.43,66.07
1953,5,103.05,82.09,124.61,109.43
1953,6,66.51,47.17,86.37,58.59
1953,7,65.66,46.35,85.89,60.96
1953,8,57.33,38.66,77.06,65.41
1953,9,47.88,29.36,69.08,62.83
1953,10,25.83,11.29,43.79,17.2
1953,11,48.93,30.24,68.56,63.6
1953,12,43.57,27.36,62.27,66.3
1954,1,54.47,34.15,73.28,68.65
1954,2,71.03,51.75,90.78,80.98
1954,3,84.62,63.01,105.53,125.58
1954,4,103.81,82.4,125.11,128.52
1954,5,37.75,21.32,57.28,30.08
1954,6,68.27,48.8,87.99,61.88
1954,7,47.76,30.26,67.25,48.1
1954,8,75.58,55.29,97.03,67.73
1954,9,53.9,34.6,73.69,51.91
1954,10,176.64,154.58,198.99,217.16
1954,11,56.83,37.8,77.16,58.38
1954,12,56.03,37.25,76.37,62.19
1955,1,67.46,47.63,89.2,54.63
1955,2,53.17,33.88,72.95,61.53
1955,3,89.13,68.53,110.09,86.37
1955,4,69.19,49.37,89.2,86.09
1955,5,44.33,26.53,63.56,50.68
1955,6,44.08,27.26,62.82,49.05
1955,7,65.12,45.86,84.85,49.94
1955,8,83.26,62.32,104.55,106.01
1955,9,56.45,37.57,75.96,54.73
1955,10,110.16,87.15,131.9,137.22
1955,11,74.72,53.43,96.03,80.51
1955,12,37.24,21.52,55.51,38.26
1956,1,22.6,9.52,38.88,44.79
1956,2,54.07,34.54,73.32,73.47
1956,3,98.68,77.54,119.45,94.65
1956,4,86.61,64.96,107.8,96.52
1956,5,138.63,116.65,160.79,127.24
1956,6,76.23,55.34,96.01,64.92
1956,7,88.14,67.88,108.9,92.86
1956,8,125.1,103.96,147.17,164.72
1956,9,43.54,26.12,62.26,56.18
1956,10,36.58,18.68,56.03,24.53
1956,11,42.84,25.2,61.97,60.25
1956,12,61.67,42.61,80.54,64.75
1957,1,63.76,43.6,84.28,73.07
1957,2,57.09,37.56,77.58,53.56
1957,3,37.23,21.02,55.22,36.61
1957,4,124.8,103.2,145.77,128.25
1957,5,78.73,58.57,99.37,82.11
1957,6,125.96,104.7,147.27,133.01
1957,7,82.79,62.98,103.61,96.77
1957,8,44.66,27.39,63.07,59.47
1957,9,94.84,73.23,115.46,113.31
1957,10,60.44,38.76,82.14,64.65
1957,11,67.79,47.78,88.11,68.93
1957,12,84.62,64.44,106.13,85.44
1958,1,44.38,25.92,64.03,48.37
1958,2,26.69,12.86,43.49,28.98
1958,3,27.84,14.2,43.57,19.42
1958,4,54.01,35.16,74.85,74.97
1958,5,44.5,25.9,63.07,52.33
1958,6,104.54,82.14,126.35,109.43
1958,7,112.99,91.84,133.7,107.67
1958,8,91.28,70.71,113.29,100
1958,9,91.67,71.3,112.57,107.4
1958,10,47.22,27.15,67.23,52.03
1958,11,76.75,55.92,98.26,97.72
1958,12,34.5,19.65,51.73,29.53
1959,1,108.9,87.61,130.8,115
1959,2,81.59,60.94,101.92,74.96
1959,3,75.27,56.08,95.53,73.2
1959,4,85.36,64.24,106.49,98.83
1959,5,77.92,57.46,99.54,79.95
1959,6,48.33,30.56,67.09,42.85
1959,7,60.87,42.58,81.13,77.67
1959,8,70.71,50.6,90.92,52.93
1959,9,62.79,42.35,82.43,77.04
1959,10,102.7,80.54,124.98,132.22
1959,11,75.38,54.8,96.63,81.74
1959,12,78.74,58.3,100.03,81.57
1960,1,80.53,60.24,101.07,76.42
1960,2,66.37,46.3,86.63,62.88
1960,3,39.67,22.61,57.13,38.36
1960,4,71.85,52.07,93.42,70.93
1960,5,98.15,77.07,120.4,92.55
1960,6,96.6,75.13,117.99,96.55
1960,7,77.74,57.53,97.84,63.87
1960,8,64.19,44.62,85.49,66.14
1960,9,33.64,18.32,52.08,42.46
1960,10,37.08,19.5,56.66,40.23
1960,11,45.81,27.8,64.64,49.97
1960,12,27.7,14.69,43.26,26.94
1961,1,26.85,12.45,44.86,17.79
1961,2,67.86,48.25,87.57,78.96
1961,3,66.04,46.12,87.49,70.15
1961,4,136.71,114.76,159.16,164.18
1961,5,59.77,39.91,80.91,55.62
1961,6,85.45,65.53,106.45,91.08
1961,7,82.31,61.33,101.97,90.01
1961,8,79.4,58.88,101.46,107.39
1961,9,88.62,68.59,108.83,69.64
1961,10,41.92,22.84,62.45,41.74
1961,11,55.8,36.78,75.87,68.76
1961,12,41.42,25.26,59.41,54.64
1962,1,60.15,40.1,80.24,70.61
1962,2,51.62,32.59,71.66,56.57
1962,3,47.99,29.47,68.07,32.06
1962,4,35.61,19.78,54.56,38.71
1962,5,47.19,28.41,65.94,38.81
1962,6,59.75,40.52,78.89,80.69
1962,7,66.28,47.09,86.8,71.78
1962,8,59.95,41.32,80.75,80.83
1962,9,79.37,58.82,100.97,97.54
1962,10,60.48,38.71,81.8,70.59
1962,11,53.88,34.39,74.6,67.51
1962,12,51,33.09,69.7,70.02
1963,1,32.06,15.7,50.89,29.55
1963,2,22.51,10.32,38.16,22.92
1963,3,102.16,80.37,122.83,72.09
1963,4,62.89,43.18,83.2,74.89
1963,5,50.52,30.98,70.31,54.37
1963,6,45.18,27.81,63.09,41.92
1963,7,62.4,43.09,82.28,62.72
1963,8,57.1,38.63,76.97,67.2
1963,9,38.15,21.33,57.06,36.17
1963,10,23.51,9.7,41.64,18.79
1963,11,50.23,30.98,70.27,77.53
1963,12,35.79,20.24,53.01,48.25
1964,1,45.56,27.1,65.02,51.67
1964,2,37.36,21,56.02,33.53
1964,3,79.54,58.7,101.03,106.69
1964,4,98.37,76.16,119.79,112.52
1964,5,56.92,37.03,77.07,66.24
1964,6,65.2,46.09,84.74,53.14
1964,7,56.58,37.78,76.05,67.75
1964,8,96.52,75.33,117.19,148.22
1964,9,46.01,28.52,64.62,37.63
1964,10,29.36,13.04,48.34,34.85
1964,11,32.59,16.15,50.49,34.77
1964,12,55.24,35.96,75,80.83
1965,1,80.69,60.17,101.68,108.36
1965,2,76.96,56.86,98.51,74.99
1965,3,60.12,40.96,79.54,73.54
1965,4,61.96,42.13,82.59,50.25
1965,5,62.99,42.23,84.38,60.77
1965,6,51.14,33.43,70.19,63.93
1965,7,56.73,37.75,76.65,62.52
1965,8,82.18,61.46,102.29,94.16
1965,9,78.72,57.94,98.82,67.07
1965,10,83.38,61.87,106.14,90.21
1965,11,64.53,44.53,84.67,71.18
1965,12,71.37,51.62,92.33,70.69
1966,1,43.42,25.07,63.04,40.72
1966,2,49.1,30.09,68.01,48.33
1966,3,64.45,45.33,84.57,66.4
1966,4,63.07,42.55,82.79,86.85
1966,5,47.84,28.84,68.18,49.19
1966,6,65.54,46.92,86.33,76.55
1966,7,68.42,48.86,87.63,71.83
1966,8,83.76,63.73,105.11,85.4
1966,9,52.88,33.83,72.63,71.03
1966,10,42.36,23.21,63.29,35.92
1966,11,98.49,77.22,119.68,131.39
1966,12,99.14,78.89,120.16,111.94
1967,1,59.6,39.59,79.56,35.52
1967,2,37.63,21.36,56.31,40.06
1967,3,50.61,32.2,70.49,40.81
1967,4,80.59,60.74,101.06,86.5
1967,5,71.23,50.31,92.27,81.21
1967,6,88.23,68.06,109.79,96.32
1967,7,63.66,44.01,84.14,69.21
1967,8,59.97,41.43,79.49,72.12
1967,9,70.1,48.57,91.05,73.98
1967,10,87.08,65.62,109.49,79.41
1967,11,77.71,56.41,99.57,89.06
1967,12,90.25,68.74,111.02,89.24
1968,1,88.05,65.63,109.25,88.54
1968,2,40.09,22.21,58.9,24.84
1968,3,59.52,40.56,79.79,49.26
1968,4,48.32,30.89,68.15,58.09
1968,5,109.08,87.74,130.87,104.38
1968,6,96.18,75.22,117.97,94.03
1968,7,79.05,59.15,100.1,76.19
1968,8,82.33,62.7,103.39,86.3
1968,9,69.95,49.58,90.02,70.2
1968,10,64.22,44.45,85.11,65.98
1968,11,92.83,71.78,113.43,106.69
1968,12,85.09,64.08,106,98.33
1969,1,91.66,70.93,112.66,77.22
1969,2,29.42,14.55,47.04,13.5
1969,3,36.45,20.93,54.71,39.75
1969,4,120.75,99.73,143.3,119
1969,5,112.84,91.64,134.27,138.92
1969,6,104.59,83.86,126.07,107.27
1969,7,125.83,104.57,147.92,138.12
1969,8,40.27,23.71,58.16,30.33
1969,9,65.11,45.66,85.61,66.89
1969,10,58.78,37.75,80.27,61.04
