Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,74.2,65.5,82.8,78.08973302
1950,2,46.3,38.4,54.9,53.6782152
1950,3,81.9,73.1,91,100.074971
1950,4,139,129.2,148.8,151.9406555
1950,5,106.9,98.1,116.1,100.3870708
1950,6,56.1,47.2,64.7,49.84786917
1950,7,40,32.2,47.9,37.7474167
1950,8,28.6,21.8,36,30.43246446
1950,9,32.2,25.1,39.9,32.63380988
1950,10,24.1,16.7,32,29.95815496
1950,11,31.5,23.7,39.4,38.91068893
1950,12,46.1,37.8,54.5,59.50679305
1951,1,51.4,43.3,60,63.08704273
1951,2,50.1,41.9,58.2,60.73964157
1951,3,85.8,76.7,94.7,93.5936537
1951,4,178,168.5,188.4,189.2594944
1951,5,94.4,85.4,103.9,89.91438991
1951,6,49.6,41,57.9,47.0664368
1951,7,50,41.9,58.2,46.24004361
1951,8,32.8,25.5,40.4,33.47384014
1951,9,32.4,25.3,39.8,33.81654787
1951,10,60.8,52.5,69.2,65.73943441
1951,11,80.8,72.2,89.8,93.47736695
1951,12,58.8,50.6,67.1,73.15750733
1952,1,73.9,65.7,82.5,89.81879796
1952,2,56.5,48.2,64.7,65.02053342
1952,3,73.9,65.3,83,87.11826807
1952,4,146.1,136.2,156.3,157.2937758
1952,5,76.2,66.8,84.7,71.79298344
1952,6,46.8,38.6,55.3,42.07208995
1952,7,42.9,35,50.9,44.31565656
1952,8,32.3,25.2,39.9,36.48281949
1952,9,25.5,19,32.5,29.80115571
1952,10,18,12,24.8,26.85381179
1952,11,30.8,23,38.8,33.76024804
1952,12,50.7,42.8,59,50.06782855
1953,1,41.5,33.6,49.8,45.51249526
1953,2,41,32.8,48.6,47.36397956
1953,3,88.9,79.8,98.3,100.7281447
1953,4,104.4,94.9,114,105.0921322
1953,5,86.2,77.6,95.1,86.56023005
1953,6,55.7,47.3,64.2,50.91050085
1953,7,39.2,31.3,47.3,41.75543468
1953,8,29.5,22.7,36.7,31.64458876
1953,9,24.2,17.6,31,25.32918296
1953,10,20.8,13.9,28.3,24.39055073
1953,11,19,12.4,26.5,24.55180375
1953,12,31.8,24.1,39.7,32.9278937
1954,1,33.9,25.9,42.1,30.94350501
1954,2,54.8,46.7,62.9,55.60265376
1954,3,80.8,71.6,89.7,86.20569567
1954,4,119.2,110.3,128.9,113.751046
1954,5,93,84.5,102.4,80.65314889
1954,6,68.6,60.7,77,68.23296491
1954,7,41.5,33.5,49.5,37.21150855
1954,8,27.6,21.1,34.3,27.01123053
1954,9,33.4,26.2,41.1,32.55984736
1954,10,103,94.3,111.5,112.8687798
1954,11,55.5,47.4,64.2,63.23089063
1954,12,46.6,38.5,54.7,54.66103359
1955,1,45.6,37.3,53.8,55.6609848
1955,2,35,27.3,43,44.57365697
1955,3,71.3,62.7,80.1,87.63022119
