Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,245.7,222,270.3,227.2312269
1950,2,143.3,119.8,167,121.1280707
1950,3,243.5,219.5,266.3,296.0999394
1950,4,342.7,318.3,367,417.0541642
1950,5,116.9,93.2,140.7,122.3464926
1950,6,74,51.4,96.8,79.056
1950,7,51.1,31.1,72.6,49.39533474
1950,8,41.3,24.6,61.2,39.49230316
1950,9,48.1,29.8,69.2,56.62292211
1950,10,68.7,47.4,91.5,68.14554442
1950,11,136.3,112.9,160,148.9185853
1950,12,193.5,169,217.7,221.0384842
1951,1,201.9,178.3,224.2,243.5003924
1951,2,198.2,176.2,222,230.7369297
1951,3,315.2,290.7,339.3,360.4492042
1951,4,366.7,343.3,391.5,436.9811874
1951,5,155.8,131.9,180,134.8814046
1951,6,89.2,66.3,112.4,71.87206737
1951,7,94.3,71.4,117.2,97.04970947
1951,8,43.2,26.6,63.6,47.22724042
1951,9,46.9,29.2,66.6,50.30526316
1951,10,42.4,23.9,64.3,52.95337768
1951,11,115.9,92.6,138.7,127.2672
1951,12,135.2,110.6,158.6,154.1968977
1952,1,204,180.8,227.6,235.2819335
1952,2,172.4,149.3,196,196.5049768
1952,3,240,217,263.7,302.7226358
1952,4,294,270.6,318.5,334.1019789
1952,5,172.2,148.3,196.3,155.6488724
1952,6,85.3,62.9,109.6,78.30568421
1952,7,57,36.4,78.9,55.70649095
1952,8,40.7,23.9,60,39.48948379
1952,9,43.4,26.2,62.7,40.71759158
1952,10,50.8,30.4,73.2,56.45644295
1952,11,56.6,36.5,77.7,66.29790316
1952,12,158.1,133.8,180.9,146.9116497
1953,1,130.9,108.3,153.3,132.9543663
1953,2,133.2,110.8,156.2,137.5098745
1953,3,239.5,215.6,263.4,262.4944775
1953,4,176.8,154,199.6,184.1056674
1953,5,229.9,205.9,252.8,227.8373912
1953,6,86.9,64.1,110.5,72.01530947
1953,7,52.3,32.8,73.8,46.58160505
1953,8,56.5,37.2,77.4,55.37944421
1953,9,44.1,26.7,64.3,45.84156632
1953,10,32.9,17.2,52.2,42.53017263
1953,11,42,24.7,62.4,50.93825684
1953,12,113.4,91.6,137.1,113.4936758
1954,1,94.2,72.1,117.1,86.726592
1954,2,237.7,215.1,260.8,257.0998434
1954,3,273.2,249.7,296,291.6946762
1954,4,335.7,312.1,359,380.4101053
1954,5,201.6,178,224.1,209.7948429
1954,6,86,63.8,109.3,80.29061053
1954,7,43.3,25.5,64.4,41.85352421
1954,8,36.9,21.5,54.9,36.13020632
1954,9,65.8,45.5,88.2,55.50563368
1954,10,94.1,71.5,116.5,102.5601651
1954,11,108.5,86.2,131.4,122.5006484
1954,12,135.4,112.5,159.6,181.9324345
1955,1,145.5,123.7,168.4,162.6423158
1955,2,100.3,78.2,123.5,104.8417617
1955,3,341.9,318,364.9,423.7327478
1955,4,295.8,272,319.5,343.5082105
1955,5,97.5,74.7,119.8,87.26650105
1955,6,56.9,36.9,78.7,58.85067789
1955,7,38.2,21.2,58.6,33.09092716
1955,8,43.1,25.6,63.4,33.64211368
1955,9,34.1,19.7,51.6,30.45190737
1955,10,193,170.3,215.7,146.4774669
1955,11,168.8,144.9,192.1,177.8493979
1955,12,111.4,90.3,135.1,129.0354442
1956,1,76.2,54.2,97.8,83.35462737
1956,2,101.4,79.4,123.7,110.6261962
1956,3,253.6,230.2,276.9,335.4710097
1956,4,368.1,343.3,391.3,481.8773558
1956,5,282.4,258.5,306.4,309.9529061
1956,6,113.4,89.8,136.6,123.5633684
1956,7,60.3,39.8,82.1,59.08691368
1956,8,50.5,31.3,71.6,50.59074695
