Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,93.97,85.49,102.22,101.33
1950,2,78.18,68.95,86.66,84.43
1950,3,52.24,43.59,59.99,54.17
1950,4,19.16,11.97,25.8,25.35
1950,5,0.53,-6.04,7.78,-1.45
1950,6,10.96,3.25,18.55,16.68
1950,7,38.73,30.18,47.6,38.56
1950,8,59.07,50.99,67.01,58.98
1950,9,85.44,77.18,93.93,86.51
1950,10,57,48.44,65.81,61.33
1950,11,94.96,86.32,103.72,99.04
1950,12,102.03,92.96,110.56,106.34
1951,1,79.12,70.54,87.62,84.3
1951,2,36.95,28.67,45.38,38.69
1951,3,41.07,32.49,49.09,41.9
1951,4,5.46,-1.13,12.25,6.99
1951,5,1.98,-4.63,8.73,1.61
1951,6,15.63,7.49,23.57,15.98
1951,7,47.6,38.73,56.23,40.7
1951,8,73.66,65.38,81.82,71.61
1951,9,97.3,88.91,105.26,93.38
1951,10,66.1,57.01,74.68,68.7
1951,11,107.59,98.18,116.44,109.06
1951,12,108.41,99.4,117.62,108.19
1952,1,74.95,66.48,83.32,77.31
1952,2,42.98,34.18,52.07,43.13
1952,3,39.64,30.93,47.84,38.48
1952,4,5.01,-1.43,11.59,5.2
1952,5,6.99,0.13,13.41,4.96
1952,6,23.73,15.58,31.05,19.11
1952,7,56.63,47.96,64.61,46.61
1952,8,76.17,67.72,84.54,69.19
1952,9,89.09,80.53,97.44,85.81
1952,10,122.49,113.51,131.13,124.07
1952,11,67.32,58.89,75.97,66.48
1952,12,94.11,85.06,103.51,93.87
1953,1,85.46,77.17,93.43,89.09
1953,2,66,57.95,74.45,63.9
1953,3,34.97,26.69,43.22,32.88
1953,4,17,10.14,23.87,18.23
1953,5,11.42,4.55,18.21,15.03
1953,6,21.84,14.12,29.26,20.58
1953,7,64.59,55.79,72.76,60.16
1953,8,71.13,63.05,79.44,65.86
1953,9,103.05,95.05,111.67,100.11
1953,10,63.87,54.79,72.39,66.42
1953,11,71.41,62.73,80.16,71.27
1953,12,107.42,98.38,116.39,113.29
1954,1,113.16,104.85,121.31,124.06
1954,2,42.75,34.33,51.29,37.24
1954,3,55.39,46.99,63.81,59.09
1954,4,11.16,4.39,17.47,14.33
1954,5,13.99,6.78,20.51,12.36
1954,6,21.28,13.35,28.75,16.25
1954,7,61.27,52.52,69.17,53.37
1954,8,77.19,68.65,85.67,78.85
1954,9,72.69,64.35,80.93,68.79
1954,10,58.21,49.54,67.01,63.45
1954,11,72.11,63.17,80.7,75.79
1954,12,107.82,98.95,117.33,106.48
1955,1,110.49,101.78,118.8,108.88
1955,2,41.22,32.29,49.85,38.02
1955,3,56.39,47.47,64.53,56.23
1955,4,2.67,-4.03,9.46,1.37
1955,5,6.61,-0.25,13.42,4.8
1955,6,26.31,18.13,33.96,24.39
1955,7,62.98,54.5,71.22,61.29
1955,8,80.97,72.51,88.85,80.32
1955,9,96.09,87.66,103.83,92.73
1955,10,66.07,57.38,74.98,62.68
1955,11,115.92,107.4,124.49,119.88
1955,12,127.77,118.96,136.49,130.36
1956,1,87.55,79.38,95.98,85.44
1956,2,45.72,36.68,54.25,44.2
1956,3,49.01,40.67,57.47,50.74
1956,4,10.24,3.49,16.92,13.6
1956,5,3.93,-3.02,10.67,4.1
1956,6,13.85,6.18,21.49,11.31
1956,7,46.01,37.74,54.66,40.77
1956,8,57.43,49.27,65.5,54.93
1956,9,89.89,81.81,98.14,89.43
1956,10,57.94,49.23,66.76,58.9
1956,11,82.75,74.37,91.18,79.86
1956,12,92.23,83.12,101.36,101.39
1957,1,103.48,95.32,111.67,98.02
1957,2,37.14,28.8,45.48,36.82
1957,3,34.3,25.92,42.37,33.44
1957,4,13.71,6.8,20.38,16.77
1957,5,11.26,4.14,17.91,8.52
1957,6,15.93,8.25,23.96,11.57
1957,7,55.39,46.7,63.63,52.67
1957,8,88.3,79.63,95.87,90.84
1957,9,79.22,70.93,87.24,72.5
1957,10,76.85,68.12,85.49,74.74
1957,11,88.26,78.97,96.86,91.41
1957,12,92.2,83.76,101.66,89.99
1958,1,105.64,97.21,114.13,102.96
1958,2,72.78,63.8,81.15,69.8
1958,3,20.34,11.92,29.02,17.13
1958,4,9.91,3.22,16.47,13.36
1958,5,10.8,3.78,17.64,9.91
1958,6,33.62,25.15,41.57,34.4
1958,7,32.44,23.63,41.13,30.12
1958,8,72.72,64.66,81.08,72.17
1958,9,71.03,62.75,79.5,67.58
1958,10,82.89,74.03,91.33,83.72
1958,11,91.81,82.96,100.5,91.11
1958,12,136.7,127.37,145.36,138.65
1959,1,90.74,82.31,99.1,85.61
1959,2,57.29,48.31,65.66,60.4
1959,3,38.17,30.09,46.28,38.89
1959,4,6.76,-0.01,13.68,5.13
1959,5,-0.24,-6.59,6.54,-1.54
1959,6,6.42,-1.29,14.06,-1.54
1959,7,29.14,20.77,37.92,14.66
1959,8,52.76,44.97,61.21,43.58
1959,9,96.03,87.64,104.36,94.67
1959,10,97.16,88.78,106.18,90.66
1959,11,98.91,90.57,107.52,102.08
1959,12,86.81,77.93,95.85,89.1
1960,1,89.36,80.93,97.62,84.25
1960,2,51.12,42.67,59.98,51.92
1960,3,56.62,47.99,64.76,57.68
1960,4,4.81,-1.83,11.76,5.65
1960,5,-1.8,-8.34,4.95,-3.82
1960,6,3.43,-4.27,11.29,-1.02
1960,7,43.23,34.55,51.51,32.95
1960,8,62.86,54.93,70.7,60.48
1960,9,73.38,65.11,82.08,67.42
1960,10,90.8,81.91,99.42,92.92
1960,11,70.4,61.8,79.76,66.87
1960,12,141.92,132.79,150.79,134.79
1961,1,97.36,89.19,105.97,92.73
1961,2,29.18,20.7,38.06,28.33
1961,3,33.46,25.26,41.84,27.75
1961,4,10.69,3.76,17.4,10.4
1961,5,2.97,-3.74,9.69,0.66
1961,6,9.51,1.44,17.13,3.39
1961,7,24.79,16.37,33.42,15.09
1961,8,65.32,57.03,73.87,61.62
1961,9,79.75,71.32,88.02,72.71
1961,10,80.68,72.02,89.43,80.36
1961,11,86.91,78,95.42,84.4
1961,12,112.72,103.67,121.79,109.83
1962,1,117.28,108.6,125.99,111.37
1962,2,48.81,40,57.21,51.01
1962,3,24.46,16.26,33.06,22.7
1962,4,10.64,4.06,17.62,9.81
1962,5,1.06,-5.71,7.95,-2.13
1962,6,9.64,2.14,17.44,-0.15
1962,7,71.42,62.96,79.74,55.38
1962,8,53.89,46.31,62.26,47.91
1962,9,96.94,88.68,105.12,90.76
1962,10,66.41,57.59,75.41,65.09
1962,11,78.09,69.52,86.72,77.18
1962,12,119.25,110.21,128.71,118.36
1963,1,96,87.84,104.68,88.13
1963,2,56.21,47.84,64.96,50.53
1963,3,20.82,12.67,29.7,19.8
1963,4,8.01,1.65,15.11,6.49
1963,5,2.16,-4.34,8.91,0.72
1963,6,10.34,2.75,18.43,0.78
1963,7,44.85,36.1,53.53,26.72
1963,8,76.45,68.72,84.43,69.6
1963,9,89.86,81.59,98.36,83.18
1963,10,54.01,45.24,63.12,53.23
1963,11,70.75,62.51,79.99,69.37
1963,12,144.48,135.62,153.22,134.19
1964,1,82.46,73.97,91.34,78.94
1964,2,61.55,53.47,70.34,60.63
1964,3,44.24,36.19,52.62,38.78
1964,4,10.87,3.94,17.59,11.41
1964,5,2.39,-4.05,9.21,0.41
1964,6,16.26,8.32,24.17,15.4
1964,7,47.21,38.33,55.81,42.06
1964,8,81.65,73.05,89.68,80.23
1964,9,85.3,76.97,93.69,79.39
1964,10,83.15,74.22,91.89,83.86
1964,11,76.67,67.73,85.92,78.28
1964,12,98.88,89.6,108.41,98.93
1965,1,118.46,109.76,126.74,114.88
1965,2,57.87,48.92,66.67,57.62
1965,3,44.35,36.04,52.64,44.2
1965,4,10.8,4.08,17.87,13.33
1965,5,1.09,-5.45,7.77,-0.48
1965,6,15.95,8.28,23.72,13.16
1965,7,58.64,49.99,67.14,47.45
1965,8,72.01,64.02,79.97,68.35
1965,9,62.43,54.4,70.94,54.55
1965,10,89.59,80.73,98.65,88.12
1965,11,77.53,69.01,86.28,73.53
1965,12,72.88,63.94,82.28,65.58
1966,1,115.82,107.05,123.97,114.32
1966,2,38.7,30.18,47.42,41.03
1966,3,36.29,28.56,44.52,36.81
1966,4,11.37,4.21,18.03,14.85
1966,5,11.29,4.41,17.79,13.99
1966,6,11.32,3.45,19.05,7.08
1966,7,72.06,63.15,80.14,56.3
1966,8,72.43,63.97,80.18,63.91
1966,9,100.58,91.9,108.83,95.51
1966,10,77.03,68.19,85.83,82.78
1966,11,59.73,51.17,68.7,62.83
1966,12,111.33,102.19,120.56,109.32
1967,1,84.53,75.98,92.97,92.51
1967,2,75.62,67.48,83.86,82.76
1967,3,35.44,27.08,43.3,34.25
1967,4,11.93,5.23,18.39,15.37
1967,5,8.77,1.91,15.38,7.02
1967,6,14.38,6.34,22.09,6.99
1967,7,45.69,36.75,54.48,34.67
1967,8,75.93,67.92,84.03,65.12
1967,9,91.39,83.09,99.68,85.29
1967,10,76.24,67.62,85.06,76.35
1967,11,105.12,95.85,113.25,106.98
1967,12,96.55,87.71,105.78,90.78
1968,1,90.72,82.32,99.16,84.63
1968,2,76.85,68.22,85.76,73.35
1968,3,25.35,17.37,33.77,26.51
1968,4,6.67,0.15,13.48,7.34
1968,5,1.35,-5.26,8.2,0.01
1968,6,11.71,3.54,19.55,9.96
1968,7,45.84,36.91,54.02,35.54
1968,8,69.09,61.1,77.2,62.86
1968,9,63.2,54.86,71.54,61.32
1968,10,79.65,70.92,88.34,82.72
1968,11,93.58,84.57,102,92.29
1968,12,144.55,135.17,153.65,139.04
1969,1,86.71,78.25,94.97,94.12
1969,2,47.92,39.24,56.8,47.27
1969,3,52.16,44.08,60.36,51.07
1969,4,6.6,-0.19,13.88,5.77
1969,5,1.4,-5.18,8.13,-0.15
1969,6,7.32,-0.51,15.21,4.03
1969,7,32.8,24.48,41.45,26.85
